[2022-06-04T01:00:45.876] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:00:46.139] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:00:59.393] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:01:00.185] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:02:07.107] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:02:07.911] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:02:23.807] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:02:24.597] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:02:49.529] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:02:49.799] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:03:15.714] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:03:15.972] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:10:22.105] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:10:22.365] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:10:44.100] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:10:44.362] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:11:14.381] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:11:14.643] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:14:12.704] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:14:12.962] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:15:28.379] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:15:28.647] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:15:45.327] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:15:45.566] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:15:50.112] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:15:50.319] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:15:50.319] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:15:50.341] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:15:50.607] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:15:50.857] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:15:50.858] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:17:11.893] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:17:12.155] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:17:12.425] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:17:12.626] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:17:12.627] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:17:12.667] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:17:12.668] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:17:13.482] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:17:13.483] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:17:30.816] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:17:31.095] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:17:31.102] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:17:31.169] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:17:31.169] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:17:31.247] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:17:31.247] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:18:08.104] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:18:08.377] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:18:49.034] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:18:49.200] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:21:13.128] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:21:13.367] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:21:15.252] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:21:15.406] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:21:15.406] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:21:15.444] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:21:15.693] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:21:15.694] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:21:15.694] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:21:59.939] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:22:00.138] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:22:00.138] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:22:00.152] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:22:00.158] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:22:00.220] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:22:00.220] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:22:06.992] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:22:07.243] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:22:53.105] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:22:53.367] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:24:27.868] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:24:28.130] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:25:52.744] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:25:53.005] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:26:12.323] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:26:12.590] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:27:08.015] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:27:08.268] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:27:18.065] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:27:18.336] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:27:33.857] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:27:34.138] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:28:40.956] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:28:41.751] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:29:11.851] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:29:12.107] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:29:13.662] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:29:13.806] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:29:13.807] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:29:13.836] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:29:14.093] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:29:14.094] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:29:14.097] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:29:51.703] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:29:52.478] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:30:17.715] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:30:17.973] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:30:51.248] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:30:51.457] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:30:51.457] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:30:51.515] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:30:51.904] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:30:51.904] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:30:51.907] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:31:03.908] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:31:04.686] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:31:40.230] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:31:40.922] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:31:52.730] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:31:53.000] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:32:38.753] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:32:39.017] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:38:15.314] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:38:15.556] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:38:52.608] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:38:53.300] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:39:23.707] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:39:23.950] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:43:49.103] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:43:49.360] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:45:11.110] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:45:11.370] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:45:20.097] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:45:20.355] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:46:41.683] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:46:41.945] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:47:08.094] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:47:08.356] [INFO] custom - Path: /productos, Method: GET
