[2022-06-23T00:46:20.580] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.023] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.243] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.545] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.715] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.843] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:21.971] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:22.199] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:22.426] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:23.069] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:26.101] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:26.926] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:27.763] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:28.139] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:40.590] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:41.187] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:42.859] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:45.620] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:45.848] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:46.096] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:55.690] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:56.441] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:56.576] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:57.525] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:57.710] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:46:58.257] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:15.361] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:15.556] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:54.673] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:54.844] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.007] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.126] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.346] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.616] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.762] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:55.944] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:56.119] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:56.234] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:56.488] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:47:57.880] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:48:14.307] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:48:21.996] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-23T00:48:22.179] [WARN] custom - Path: /favicon.ico, Method: GET
